wxDVFileHeaderVer.1
base (2) - Energy Use| Total,base (2) - Energy Use| Net,base (2) - Fuel Use| Electricity: Total,base (2) - Fuel Use| Electricity: Net,base (2) - Fuel Use| Natural Gas: Total,base (2) - End Use| Electricity: Heating,base (2) - End Use| Electricity: Heating Fans/Pumps,base (2) - End Use| Electricity: Heating Heat Pump Backup,base (2) - End Use| Electricity: Heating Heat Pump Backup Fans/Pumps,base (2) - End Use| Electricity: Cooling,base (2) - End Use| Electricity: Cooling Fans/Pumps,base (2) - End Use| Electricity: Lighting Interior,base (2) - End Use| Electricity: Lighting Garage,base (2) - End Use| Electricity: Lighting Exterior,base (2) - End Use| Electricity: Mech Vent,base (2) - End Use| Electricity: Refrigerator,base (2) - End Use| Electricity: Dishwasher,base (2) - End Use| Electricity: Clothes Washer,base (2) - End Use| Electricity: Clothes Dryer,base (2) - End Use| Electricity: Range/Oven,base (2) - End Use| Electricity: Television,base (2) - End Use| Electricity: Plug Loads,base (2) - End Use| Electricity: Battery,base (2) - End Use| Natural Gas: Hot Water,base (2) - Emissions| CO2e: BEopt: Total,base (2) - Emissions| CO2e: BEopt: Net,base (2) - Emissions| CO2e: BEopt: Electricity: Total,base (2) - Emissions| CO2e: BEopt: Electricity: Net,base (2) - Emissions| CO2e: BEopt: Natural Gas: Total,base (2) - Emissions| CO2e: BEopt: Electricity: Heating,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup,base (2) - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Cooling,base (2) - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Interior,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Garage,base (2) - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,base (2) - Emissions| CO2e: BEopt: Electricity: Mech Vent,base (2) - Emissions| CO2e: BEopt: Electricity: Refrigerator,base (2) - Emissions| CO2e: BEopt: Electricity: Dishwasher,base (2) - Emissions| CO2e: BEopt: Electricity: Clothes Washer,base (2) - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,base (2) - Emissions| CO2e: BEopt: Electricity: Range/Oven,base (2) - Emissions| CO2e: BEopt: Electricity: Television,base (2) - Emissions| CO2e: BEopt: Electricity: Plug Loads,base (2) - Emissions| CO2e: BEopt: Electricity: Battery,base (2) - Emissions| CO2e: BEopt: Natural Gas: Hot Water,base (2) - Hot Water| Clothes Washer,base (2) - Hot Water| Dishwasher,base (2) - Hot Water| Fixtures,base (2) - Hot Water| Distribution Waste,base (2) - Load| Heating: Delivered,base (2) - Load| Heating: Heat Pump Backup,base (2) - Load| Cooling: Delivered,base (2) - Load| Hot Water: Delivered,base (2) - Load| Hot Water: Tank Losses,base (2) - Component Load| Heating: Roofs,base (2) - Component Load| Heating: Ceilings,base (2) - Component Load| Heating: Walls,base (2) - Component Load| Heating: Doors,base (2) - Component Load| Heating: Windows Conduction,base (2) - Component Load| Heating: Windows Solar,base (2) - Component Load| Heating: Floors,base (2) - Component Load| Heating: Internal Mass,base (2) - Component Load| Heating: Infiltration,base (2) - Component Load| Heating: Mechanical Ventilation,base (2) - Component Load| Heating: Ducts,base (2) - Component Load| Heating: Internal Gains,base (2) - Component Load| Heating: Lighting,base (2) - Component Load| Cooling: Roofs,base (2) - Component Load| Cooling: Ceilings,base (2) - Component Load| Cooling: Walls,base (2) - Component Load| Cooling: Doors,base (2) - Component Load| Cooling: Windows Conduction,base (2) - Component Load| Cooling: Windows Solar,base (2) - Component Load| Cooling: Floors,base (2) - Component Load| Cooling: Internal Mass,base (2) - Component Load| Cooling: Infiltration,base (2) - Component Load| Cooling: Natural Ventilation,base (2) - Component Load| Cooling: Mechanical Ventilation,base (2) - Component Load| Cooling: Ducts,base (2) - Component Load| Cooling: Internal Gains,base (2) - Component Load| Cooling: Lighting,base (2) - Unmet Hours| Heating,base (2) - Unmet Hours| Cooling,base (2) - Unmet Hours| EV Driving,base (2) - Temperature| Garage,base (2) - Temperature| Conditioned Space,base (2) - Temperature| Basement - Unconditioned,base (2) - Temperature| Attic - Vented,base (2) - Temperature| Crawlspace - Unvented,base (2) - Temperature| Heating Setpoint,base (2) - Temperature| Cooling Setpoint,base (2) - Airflow| Infiltration,base (2) - Airflow| Mechanical Ventilation,base (2) - Airflow| Natural Ventilation,base (2) - Weather| Drybulb Temperature,base (2) - Weather| Wetbulb Temperature,base (2) - Weather| Relative Humidity,base (2) - Weather| Wind Speed,base (2) - Weather| Diffuse Solar Radiation,base (2) - Weather| Direct Solar Radiation,base (2) - Resilience| Battery
10.282,10.282,2.087,2.087,3.161,1.86,0.239,3.344,0.171,0.0,0.0,0.157,0.009,0.019,0.032,0.038,0.005,0.002,0.024,0.034,0.079,0.266,-4.206,3.161,1.95877,1.95877,1.58889,1.58889,0.36988,1.4263,0.18362,2.56495,0.13085,0.0,0.0,0.12018,0.00653,0.01465,0.02418,0.02891,0.00385,0.0018,0.01817,0.02574,0.06065,0.20439,-3.22588,0.36988,0.054,0.054,3.748,1.288,24.816,9.832,0.0,2.951,0.346,2.619,0.424,8.464,0.202,4.054,0.002,1.134,-0.481,1.885,5.949,2.939,-3.084,-0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.593,71.0,69.821,23.814,59.481,71.0,76.0,29.205,91.698,0.0,15.98,13.668,64.0,9.171,0.0,0.0,0.0
27.731,27.731,6.735,6.735,4.749,1.86,0.234,3.492,0.176,0.0,0.0,0.198,0.008,0.018,0.032,0.04,0.008,0.005,0.047,0.056,0.09,0.302,0.169,4.749,5.72157,5.72157,5.1659,5.1659,0.55567,1.4264,0.17954,2.6782,0.13493,0.0,0.0,0.15223,0.00638,0.01365,0.02418,0.03043,0.00596,0.00402,0.03633,0.04324,0.06885,0.23201,0.12956,0.55567,0.119,0.083,3.719,1.278,25.291,10.228,0.0,2.981,0.346,2.706,0.439,8.663,0.205,4.101,0.002,1.147,-0.423,1.96,6.058,2.962,-3.065,-0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.368,71.0,69.883,23.047,59.346,71.0,76.0,30.338,93.301,0.0,15.98,13.865,67.0,11.632,0.0,0.0,0.0
23.732,23.732,6.04,6.04,3.121,1.908,0.266,2.876,0.144,0.0,0.0,0.214,0.007,0.013,0.032,0.041,0.015,0.008,0.071,0.062,0.092,0.31,0.0,3.121,5.01106,5.01106,4.64586,4.64586,0.3652,1.46362,0.20366,2.20552,0.11081,0.0,0.0,0.16425,0.00529,0.01032,0.02418,0.03119,0.01115,0.00599,0.0545,0.04736,0.07048,0.23753,0.0,0.3652,0.178,0.155,3.023,1.039,24.102,7.859,0.0,2.517,0.347,3.009,0.497,9.151,0.206,2.929,-1.723,1.455,0.288,1.91,5.787,3.016,-2.905,-0.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.375,71.0,69.979,24.543,59.258,71.0,76.0,31.468,94.904,0.0,19.04,16.104,59.0,14.987,7.925,191.784,0.0
20.433,20.433,5.087,5.087,3.077,1.977,0.327,1.707,0.083,0.0,0.0,0.214,0.006,0.011,0.032,0.041,0.016,0.009,0.101,0.064,0.092,0.31,0.0,3.077,4.18638,4.18638,3.82637,3.82637,0.36001,1.51608,0.25078,1.30917,0.06369,0.0,0.0,0.16425,0.00451,0.00833,0.02418,0.03119,0.0125,0.00706,0.07721,0.04941,0.07048,0.23753,0.0,0.36001,0.209,0.174,2.353,0.809,21.998,3.978,0.0,2.032,0.347,3.143,0.521,9.121,0.196,2.076,-2.845,1.621,0.653,1.576,5.414,2.862,-2.852,-0.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.377,71.0,70.03,28.433,59.255,71.0,76.0,28.34,96.908,0.0,23.0,18.885,50.0,13.869,10.778,267.547,0.0
16.962,16.962,4.079,4.079,3.044,2.021,0.394,0.682,0.016,0.0,0.0,0.204,0.005,0.01,0.032,0.04,0.014,0.009,0.115,0.056,0.092,0.31,0.0,3.044,3.42438,3.42438,3.06824,3.06824,0.35614,1.55023,0.3019,0.52302,0.01257,0.0,0.0,0.15624,0.0042,0.00799,0.02418,0.03043,0.01077,0.00689,0.08857,0.04324,0.07048,0.23753,0.0,0.35614,0.205,0.15,1.907,0.656,19.734,0.693,0.0,1.673,0.343,3.119,0.529,8.524,0.179,1.546,-3.445,1.713,0.87,1.297,5.093,2.601,-2.591,-0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.186,71.0,69.965,34.436,59.342,71.0,76.0,25.043,97.91,0.0,26.06,20.764,42.0,11.632,15.216,299.563,0.0
13.749,13.749,3.588,3.588,1.506,1.849,0.365,0.36,0.0,0.0,0.0,0.193,0.005,0.01,0.032,0.04,0.012,0.008,0.12,0.067,0.094,0.317,0.0,1.506,2.839,2.839,2.66278,2.66278,0.17622,1.41814,0.2798,0.27612,0.0,0.0,0.0,0.14822,0.00389,0.00799,0.02418,0.03043,0.00923,0.00615,0.09197,0.05147,0.07212,0.24305,0.0,0.17622,0.183,0.129,1.497,0.515,17.765,0.0,0.0,1.329,0.335,2.903,0.516,7.527,0.161,1.378,-3.648,1.767,1.001,1.341,4.753,2.369,-2.457,-0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.023,71.002,69.822,39.738,59.492,71.0,76.0,27.827,98.21,0.0,28.94,22.516,36.0,16.106,16.167,313.194,0.0
31.581,31.581,8.818,8.818,1.492,1.679,0.326,0.299,0.0,0.0,0.0,0.188,0.004,0.011,0.032,0.042,0.01,0.007,0.11,0.077,0.096,0.324,5.555,1.492,6.89339,6.89339,6.71889,6.71889,0.17451,1.28789,0.24992,0.22969,0.0,0.0,0.0,0.14422,0.00327,0.00866,0.02418,0.03195,0.00788,0.0055,0.08402,0.05868,0.07376,0.24858,4.26069,0.17451,0.163,0.11,1.084,0.373,15.965,0.0,0.0,0.989,0.327,2.565,0.49,6.482,0.15,1.326,-3.809,1.828,1.132,1.407,4.583,2.168,-2.281,-0.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.209,71.0,69.655,43.224,59.66,71.0,76.0,30.072,97.509,0.0,30.02,23.157,34.0,18.343,18.386,318.583,1.0
27.245,27.245,7.549,7.549,1.486,1.458,0.275,0.219,0.0,0.0,0.0,0.183,0.004,0.013,0.032,0.042,0.012,0.006,0.099,0.062,0.096,0.324,4.648,1.486,5.9044,5.9044,5.73052,5.73052,0.17387,1.11791,0.21106,0.16776,0.0,0.0,0.0,0.14021,0.00327,0.00966,0.02418,0.03195,0.00884,0.00492,0.07608,0.04736,0.07376,0.24858,3.565,0.17387,0.146,0.123,0.923,0.317,13.889,0.0,0.0,0.864,0.323,2.179,0.452,5.61,0.142,1.046,-3.885,1.883,1.223,1.228,4.307,1.99,-2.138,-0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.249,71.0,69.497,46.111,59.837,71.0,76.0,27.725,96.807,0.0,32.0,24.48,32.0,17.224,18.703,318.583,3.0
10.809,10.809,2.734,2.734,1.481,1.101,0.227,0.152,0.0,0.0,0.0,0.193,0.004,0.013,0.032,0.042,0.009,0.005,0.084,0.077,0.094,0.317,0.17,1.481,2.10592,2.10592,1.9326,1.9326,0.17333,0.84446,0.17395,0.11665,0.0,0.0,0.0,0.14822,0.00327,0.01032,0.02418,0.03195,0.00692,0.00402,0.06472,0.05868,0.07212,0.24305,0.13007,0.17333,0.119,0.096,0.826,0.284,11.742,0.0,0.0,0.76,0.319,1.861,0.418,4.969,0.136,0.644,-4.237,1.998,1.405,1.123,4.026,1.754,-2.029,-0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.998,71.0,69.315,48.345,60.024,71.0,76.0,26.835,95.806,0.0,33.98,25.467,28.0,17.224,18.703,311.292,3.0
8.935,8.935,2.185,2.185,1.48,0.942,0.192,0.116,0.0,0.0,0.0,0.214,0.005,0.015,0.032,0.041,0.01,0.006,0.09,0.059,0.098,0.331,0.0,1.48,1.82237,1.82237,1.64916,1.64916,0.17321,0.72265,0.14696,0.08859,0.0,0.0,0.0,0.16425,0.00404,0.01166,0.02418,0.03119,0.00731,0.00427,0.06926,0.0453,0.0754,0.2541,0.0,0.17321,0.127,0.102,0.794,0.273,10.007,0.0,0.0,0.743,0.316,1.56,0.378,4.347,0.131,0.567,-4.417,2.069,1.44,1.002,3.916,1.508,-1.989,-0.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.134,71.0,69.082,49.636,60.215,71.0,76.0,24.718,96.206,0.0,35.06,26.129,27.0,16.106,16.801,295.442,3.0
8.891,8.891,2.17,2.17,1.485,0.852,0.174,0.117,0.0,0.0,0.0,0.261,0.006,0.019,0.032,0.044,0.01,0.005,0.081,0.123,0.103,0.346,0.0,1.485,1.84041,1.84041,1.66661,1.66661,0.1738,0.65332,0.13376,0.0897,0.0,0.0,0.0,0.2003,0.00482,0.01465,0.02418,0.03347,0.00731,0.0041,0.06245,0.09471,0.07868,0.26515,0.0,0.1738,0.122,0.102,0.954,0.328,8.852,0.0,0.0,0.863,0.315,1.267,0.329,3.714,0.128,0.843,-3.897,2.025,1.217,0.87,4.017,1.31,-2.248,-0.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.067,71.0,68.811,49.796,60.392,71.0,76.0,20.779,95.605,0.0,33.98,25.34,27.0,11.632,11.729,261.207,3.0
11.315,11.315,2.44,2.44,2.991,1.047,0.188,0.162,0.0,0.0,0.0,0.339,0.009,0.024,0.032,0.048,0.012,0.005,0.08,0.201,0.111,0.375,0.0,2.991,2.37046,2.37046,2.02046,2.02046,0.35,0.80321,0.14443,0.12458,0.0,0.0,0.0,0.26039,0.00684,0.01865,0.02418,0.03651,0.00942,0.00402,0.06131,0.15442,0.08524,0.28725,0.0,0.35,0.119,0.131,1.243,0.427,9.002,0.0,0.0,1.098,0.314,0.94,0.263,3.061,0.132,1.761,-2.46,1.791,0.592,1.008,4.371,1.181,-2.658,-1.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.872,71.0,68.529,47.711,60.521,71.0,76.0,22.101,95.505,0.0,30.92,23.403,30.0,11.632,8.876,169.277,3.0
11.282,11.282,2.867,2.867,1.5,1.16,0.214,0.196,0.0,0.0,0.0,0.449,0.017,0.028,0.032,0.05,0.022,0.005,0.076,0.157,0.113,0.382,0.0,1.5,2.39918,2.39918,2.22364,2.22364,0.17554,0.88947,0.16378,0.15053,0.0,0.0,0.0,0.34452,0.01306,0.02131,0.02418,0.03803,0.01673,0.00402,0.05791,0.12045,0.08688,0.29277,0.0,0.17554,0.119,0.233,1.332,0.458,10.13,0.0,0.0,1.231,0.317,0.562,0.181,2.563,0.141,3.132,0.004,1.392,-0.461,0.985,4.463,1.222,-2.78,-1.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.272,71.0,68.337,44.57,60.581,71.0,76.0,21.082,95.204,0.0,30.02,22.816,31.0,9.171,0.0,0.0,2.0
12.024,12.024,3.083,3.083,1.503,1.301,0.247,0.258,0.0,0.0,0.0,0.548,0.024,0.03,0.032,0.048,0.028,0.005,0.076,0.081,0.107,0.36,0.0,1.503,2.58652,2.58652,2.41072,2.41072,0.1758,0.99814,0.1895,0.19771,0.0,0.0,0.0,0.42063,0.01819,0.02265,0.02418,0.03651,0.02134,0.00402,0.05791,0.06177,0.08196,0.2762,0.0,0.1758,0.119,0.297,1.335,0.459,11.336,0.0,0.0,1.267,0.318,0.67,0.186,3.183,0.153,3.246,0.005,1.44,-0.453,1.043,4.701,1.377,-2.663,-1.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.295,71.0,68.284,41.218,60.552,71.0,76.0,21.188,95.204,0.0,28.04,22.092,39.0,6.935,0.0,0.0,2.0
14.102,14.102,3.271,3.271,2.941,1.436,0.279,0.31,0.0,0.0,0.0,0.575,0.023,0.03,0.032,0.047,0.023,0.005,0.077,0.047,0.1,0.338,0.0,2.941,2.89117,2.89117,2.54706,2.54706,0.34411,1.10144,0.21366,0.2374,0.0,0.0,0.0,0.44066,0.01757,0.02331,0.02418,0.03575,0.0173,0.00402,0.05904,0.03603,0.07704,0.25963,0.0,0.34411,0.119,0.241,1.34,0.461,12.638,0.0,0.0,1.234,0.321,0.822,0.187,4.087,0.161,3.249,0.006,1.403,-0.602,1.076,4.835,1.542,-2.598,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.219,71.0,68.341,38.332,60.457,71.0,76.0,21.28,95.305,0.0,26.96,21.406,41.0,4.698,0.0,0.0,2.0
12.986,12.986,3.348,3.348,1.561,1.622,0.322,0.376,0.0,0.0,0.0,0.413,0.019,0.028,0.032,0.046,0.017,0.005,0.08,0.034,0.096,0.324,0.0,1.561,2.7996,2.7996,2.61698,2.61698,0.18262,1.24391,0.24669,0.28803,0.0,0.0,0.0,0.31648,0.01493,0.02165,0.02418,0.03499,0.01288,0.00386,0.06131,0.02574,0.07376,0.24858,0.0,0.18262,0.114,0.179,1.301,0.447,14.45,0.0,0.0,1.173,0.328,1.009,0.19,4.898,0.165,3.329,0.004,1.324,-0.88,1.156,4.953,1.701,-2.52,-1.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.284,71.0,68.452,36.004,60.334,71.0,76.0,22.373,95.505,0.0,26.06,20.948,44.0,6.935,0.0,0.0,2.0
13.017,13.017,3.38,3.38,1.484,1.834,0.372,0.459,0.0,0.0,0.0,0.209,0.013,0.024,0.032,0.044,0.011,0.003,0.065,0.021,0.085,0.288,0.0,1.484,2.82822,2.82822,2.65461,2.65461,0.17361,1.40676,0.28518,0.35229,0.0,0.0,0.0,0.16024,0.0098,0.01865,0.02418,0.03347,0.00846,0.00263,0.04996,0.01647,0.06557,0.22096,0.0,0.17361,0.078,0.118,0.921,0.317,16.504,0.079,0.0,0.822,0.331,1.238,0.204,5.567,0.168,3.384,0.002,1.247,-1.086,1.232,5.03,1.925,-2.349,-0.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.537,71.001,68.614,34.139,60.197,71.0,76.0,23.218,94.503,0.0,24.98,20.224,46.0,6.935,0.0,0.0,2.0
14.127,14.127,3.708,3.708,1.474,1.975,0.387,0.829,0.023,0.0,0.0,0.094,0.008,0.02,0.032,0.041,0.008,0.002,0.036,0.015,0.077,0.259,0.0,1.474,3.09028,3.09028,2.91782,2.91782,0.17246,1.51489,0.2967,0.63547,0.01777,0.0,0.0,0.07211,0.00606,0.01565,0.02418,0.03119,0.00596,0.00139,0.02725,0.01132,0.05901,0.19886,0.0,0.17246,0.041,0.083,0.67,0.23,18.561,1.092,0.0,0.585,0.333,1.494,0.232,6.141,0.172,3.511,0.001,1.2,-1.129,1.371,5.156,2.167,-2.22,-0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.872,71.0,68.822,32.327,60.047,71.0,76.0,24.679,92.499,0.0,23.0,19.052,52.0,6.935,0.0,0.0,2.0
13.876,13.876,4.067,4.067,0.0,1.975,0.361,1.17,0.049,0.0,0.0,0.063,0.005,0.017,0.032,0.04,0.004,0.001,0.015,0.009,0.075,0.252,0.0,0.0,3.11906,3.11906,3.11906,3.11906,0.0,1.51497,0.277,0.89714,0.03747,0.0,0.0,0.04807,0.00358,0.01332,0.02418,0.03043,0.00288,0.00074,0.01135,0.00721,0.05737,0.19334,0.0,0.0,0.022,0.04,0.349,0.12,19.926,2.318,0.0,0.305,0.339,1.753,0.267,6.66,0.177,3.579,0.001,1.186,-1.028,1.475,5.072,2.388,-2.385,-0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.239,71.0,69.065,30.849,59.897,71.0,76.0,26.586,91.097,0.0,23.0,18.879,50.0,10.29,0.0,0.0,2.0
16.124,16.124,4.299,4.299,1.456,1.975,0.343,1.442,0.067,0.0,0.0,0.052,0.004,0.016,0.032,0.039,0.002,0.001,0.009,0.009,0.071,0.238,0.0,1.456,3.46741,3.46741,3.29703,3.29703,0.17037,1.51496,0.26306,1.10609,0.05141,0.0,0.0,0.04006,0.00295,0.01232,0.02418,0.02967,0.00135,0.00057,0.00681,0.00721,0.05409,0.18229,0.0,0.17037,0.017,0.019,0.159,0.055,20.844,3.373,0.0,0.143,0.336,1.971,0.3,7.08,0.179,3.555,0.001,1.18,-0.907,1.445,5.049,2.497,-2.325,-0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.698,71.0,69.28,29.928,59.754,71.0,76.0,26.047,90.696,0.0,23.0,18.879,50.0,9.171,0.0,0.0,1.0
16.453,16.453,4.822,4.822,0.0,1.943,0.306,2.067,0.104,0.0,0.0,0.052,0.003,0.016,0.032,0.038,0.001,0.0,0.006,0.005,0.068,0.23,0.0,0.0,3.73737,3.73737,3.73737,3.73737,0.0,1.49016,0.23482,1.58577,0.07965,0.0,0.0,0.04006,0.00233,0.01232,0.02418,0.02891,0.00096,0.00033,0.00454,0.00412,0.05245,0.17677,0.0,0.0,0.01,0.013,0.095,0.033,22.035,5.327,0.0,0.087,0.345,2.138,0.327,7.389,0.181,3.694,0.001,1.171,-0.82,1.568,5.267,2.582,-2.281,-0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.195,71.0,69.426,28.791,59.608,71.0,76.0,27.017,90.496,0.0,21.02,17.717,57.0,9.171,0.0,0.0,1.0
16.64,16.64,4.877,4.877,0.0,1.958,0.308,2.047,0.102,0.0,0.0,0.052,0.003,0.015,0.032,0.037,0.001,0.0,0.003,0.005,0.066,0.223,0.0,0.0,3.72258,3.72258,3.72258,3.72258,0.0,1.50204,0.23609,1.57003,0.07838,0.0,0.0,0.04006,0.00264,0.01166,0.02418,0.02815,0.00058,0.00033,0.00227,0.00412,0.05081,0.17124,0.0,0.0,0.01,0.008,0.159,0.055,22.521,5.36,0.0,0.133,0.341,2.282,0.353,7.663,0.184,3.62,0.001,1.173,-0.709,1.514,5.151,2.708,-2.366,-0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75,71.0,69.569,28.081,59.471,71.0,76.0,26.628,90.295,0.0,21.92,18.353,55.0,9.171,0.0,0.0,1.0
18.566,18.566,5.012,5.012,1.465,1.959,0.301,2.183,0.109,0.0,0.0,0.057,0.004,0.015,0.032,0.036,0.001,0.001,0.006,0.009,0.068,0.23,0.0,1.465,4.01548,4.01548,3.84401,3.84401,0.17146,1.50222,0.23072,1.67465,0.08375,0.0,0.0,0.04407,0.00327,0.01166,0.02418,0.02738,0.00058,0.00057,0.00454,0.00721,0.05245,0.17677,0.0,0.17146,0.017,0.008,0.444,0.153,22.927,5.867,0.0,0.357,0.347,2.4,0.375,7.886,0.185,3.603,0.001,1.179,-0.613,1.484,5.162,2.734,-2.339,-0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.381,71.0,69.683,27.629,59.342,71.0,76.0,26.097,90.496,0.0,21.92,18.108,52.0,8.053,0.0,0.0,1.0
0.512,0.512,-0.291,-0.291,1.506,1.944,0.289,2.413,0.121,0.0,0.0,0.094,0.006,0.017,0.032,0.036,0.003,0.001,0.009,0.015,0.071,0.238,-5.555,1.506,-0.02945,-0.02945,-0.20561,-0.20561,0.17616,1.49072,0.22151,1.85106,0.09296,0.0,0.0,0.07211,0.00482,0.01299,0.02418,0.02738,0.00192,0.0009,0.00681,0.01132,0.05409,0.18229,-4.26068,0.17616,0.027,0.027,1.656,0.569,23.287,6.534,0.0,1.304,0.346,2.506,0.396,8.07,0.185,3.657,0.001,1.194,-0.503,1.537,5.278,2.776,-2.555,-0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.058,71.0,69.762,27.079,59.214,71.0,76.0,26.495,90.696,0.0,21.02,17.717,57.0,8.053,0.0,0.0,0.0
8.33,8.33,1.05,1.05,4.745,1.959,0.3,2.201,0.11,0.0,0.0,0.157,0.009,0.019,0.032,0.038,0.005,0.002,0.024,0.034,0.079,0.266,-4.206,4.745,1.34317,1.34317,0.78795,0.78795,0.55522,1.50252,0.23006,1.68779,0.08441,0.0,0.0,0.12018,0.00653,0.01465,0.02418,0.02891,0.00385,0.0018,0.01817,0.02574,0.06065,0.20439,-3.22588,0.55522,0.054,0.054,3.748,1.289,23.048,5.899,0.0,2.95,0.349,2.616,0.417,8.253,0.186,3.55,0.002,1.228,-0.342,1.474,5.23,2.81,-2.965,-0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.234,71.0,69.832,26.911,59.101,71.0,76.0,25.913,91.698,0.0,21.92,18.353,55.0,8.053,0.0,0.0,0.0
23.911,23.911,5.616,5.616,4.749,1.959,0.296,2.273,0.114,0.0,0.0,0.198,0.008,0.018,0.032,0.04,0.008,0.005,0.047,0.056,0.09,0.302,0.169,4.749,4.86293,4.86293,4.30727,4.30727,0.55566,1.50262,0.22733,1.74335,0.08714,0.0,0.0,0.15223,0.00638,0.01365,0.02418,0.03043,0.00596,0.00402,0.03633,0.04324,0.06885,0.23201,0.12956,0.55566,0.119,0.083,3.724,1.28,23.237,6.109,0.0,2.98,0.347,2.67,0.428,8.339,0.184,3.61,0.002,1.241,-0.284,1.488,5.321,2.767,-2.917,-0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.358,71.0,69.857,26.805,59.002,71.0,76.0,26.162,93.301,0.0,21.92,18.353,55.0,9.171,0.0,0.0,0.0
